Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,0.049,0.001,0.6892,71.4102,91.6896,0.001
1,0.05,0.001,0.54776,78.4458,94.7539,0.001
0,0.197,0.002,0.64578,74.0884,92.5538,0.001
1,0.193,0.002,0.48029,81.8533,95.3791,0.001
2,0.194,0.003,0.43555,83.6919,96.2064,0.001
3,0.194,0.002,0.39873,85.3772,96.5251,0.001
4,0.194,0.002,0.36711,86.4926,96.8254,0.001
5,0.194,0.002,0.29179,89.5201,97.7263,0.0001
6,0.194,0.002,0.27382,90.1452,97.855,0.0001
7,0.194,0.002,0.26127,90.5988,98.2043,0.0001
8,0.194,0.002,0.25514,90.8378,98.1859,0.0001
9,0.194,0.002,0.2425,91.3893,98.3514,0.0001
10,0.194,0.002,0.23026,91.8245,98.5353,1e-05
11,0.194,0.002,0.22663,92.1064,98.5108,1e-05
12,0.194,0.002,0.22277,92.1738,98.4801,1e-05
