Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,0.198,0.002,1.25158,37.2495,67.7943,0.001
0,0.198,0.002,1.23295,38.8,69.7493,0.001
1,0.194,0.002,1.02575,54.5872,82.9258,0.001
2,0.195,0.002,0.94019,59.9191,85.3527,0.001
3,0.195,0.002,0.8176,66.5747,88.7541,0.0001
4,0.195,0.003,0.80092,67.1508,89.1463,0.0001
5,0.195,0.002,0.78511,68.0395,89.5875,0.0001
6,0.195,0.002,0.76636,68.8423,90.0594,0.0001
7,0.195,0.002,0.74088,70.0742,90.801,1e-05
8,0.195,0.002,0.73916,69.9332,90.9113,1e-05
9,0.195,0.002,0.73608,70.6012,90.991,1e-05
10,0.195,0.002,0.73072,70.3316,90.9665,1e-05
11,0.195,0.002,0.72828,70.6441,91.1626,1e-05
12,0.195,0.002,0.73122,70.3561,90.9971,1e-05
13,0.195,0.002,0.72468,70.8035,91.2239,1e-06
14,0.195,0.002,0.72381,71.1957,91.2974,1e-06
15,0.195,0.002,0.72597,70.8586,91.4751,1e-07
