Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,0.197,0.004,0.7948,65.1284,88.2086,0.001
1,0.194,0.004,0.55082,78.4948,94.3801,0.001
2,0.195,0.004,0.48161,81.5101,95.4771,0.001
3,0.195,0.004,0.43418,83.7777,96.1819,0.001
4,0.195,0.004,0.34454,87.3935,97.1931,0.0001
5,0.195,0.004,0.32552,88.1657,97.4015,0.0001
6,0.195,0.004,0.31231,88.6683,97.5241,0.0001
7,0.195,0.004,0.29802,89.275,97.7569,1e-05
8,0.195,0.004,0.2943,89.4405,97.7631,1e-05
9,0.195,0.004,0.29243,89.5385,97.7815,1e-05
10,0.195,0.004,0.29076,89.5998,97.7937,1e-05
11,0.195,0.004,0.28858,89.7285,97.8673,1e-06
12,0.195,0.004,0.28832,89.7162,97.8673,1e-06
13,0.195,0.004,0.28802,89.7224,97.8795,1e-07
