Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,0.195,0.003,1.52363,33.1352,62.4174,0.1
1,0.192,0.003,1.28311,33.0911,63.4302,0.1
2,0.193,0.003,1.27896,32.5187,63.7384,0.1
3,0.193,0.003,1.27904,31.9243,62.7477,0.1
4,0.194,0.003,1.27776,34.1039,62.6816,0.1
5,0.193,0.003,1.27402,32.1444,63.0119,0.1
6,0.193,0.003,1.28002,32.6508,63.8265,0.1
7,0.193,0.003,1.26854,34.2801,63.4302,0.01
8,0.193,0.003,1.26563,34.6764,65.1915,0.01
9,0.193,0.003,1.26652,35.3148,63.9586,0.01
10,0.193,0.003,1.26618,35.3148,64.7292,0.01
11,0.193,0.003,1.26639,35.3148,64.2008,0.01
12,0.194,0.003,1.26527,35.3148,64.6852,0.001
13,0.193,0.003,1.26507,35.3148,64.6852,0.001
14,0.194,0.003,1.26506,35.3148,64.6852,0.001
15,0.194,0.003,1.26489,35.3148,64.6852,0.0001
16,0.194,0.003,1.26489,35.3148,64.6852,0.0001
17,0.194,0.003,1.26487,35.3148,64.6852,1e-05
18,0.194,0.003,1.26487,35.3148,64.6852,1e-05
19,0.194,0.003,1.26487,35.3148,64.6852,1e-06
0,0.202,0.003,1.48137,31.7922,62.1532,0.1
0,0.052,0.002,1.55742,31.4839,62.4174,0.1
1,0.046,0.002,1.28094,32.7609,63.6724,0.1
2,0.047,0.002,1.27681,33.7296,63.7605,0.1
3,0.049,0.002,1.27896,33.2232,64.0247,0.1
4,0.05,0.002,1.27311,33.7957,65.4117,0.1
5,0.05,0.002,1.27708,33.2012,63.3201,0.1
6,0.05,0.002,1.26652,34.9185,65.4557,0.01
7,0.05,0.002,1.26595,35.3148,64.0687,0.01
8,0.05,0.002,1.2667,35.3148,64.421,0.01
9,0.05,0.002,1.26642,35.3148,64.3549,0.01
10,0.05,0.002,1.26594,35.3148,63.5843,0.01
11,0.05,0.002,1.26586,35.3148,63.8265,0.001
0,1.539,0.205,1.5108,22.2222,44.4444,0.1
1,0.256,0.225,5.45693,33.3333,55.5556,0.1
2,0.207,0.19,8.79549,22.2222,44.4444,0.1
3,0.212,0.195,15.36094,22.2222,44.4444,0.01
4,0.232,0.216,12.66225,22.2222,44.4444,0.01
5,0.21,0.194,10.12546,22.2222,44.4444,0.001
6,0.215,0.199,9.92714,22.2222,44.4444,0.001
7,0.216,0.198,9.54581,22.2222,44.4444,0.0001
8,0.225,0.206,9.49185,22.2222,44.4444,0.0001
9,0.212,0.195,9.42264,22.2222,44.4444,1e-05
10,0.225,0.206,9.41433,22.2222,44.4444,1e-05
11,0.244,0.224,9.40476,22.2222,44.4444,1e-06
12,0.258,0.237,9.40369,22.2222,44.4444,1e-06
13,0.218,0.197,9.40251,22.2222,44.4444,1e-07
14,0.245,0.224,9.40238,22.2222,44.4444,1e-07
15,0.225,0.204,9.40225,22.2222,44.4444,1e-08
0,1.207,0.12,1.31127,50.0,50.0,0.1
1,0.172,0.154,3.13864,50.0,100.0,0.1
2,0.146,0.134,11.04373,50.0,100.0,0.1
3,0.15,0.138,5.87098,50.0,100.0,0.01
4,0.15,0.137,3.70178,50.0,100.0,0.01
5,0.15,0.138,0.83882,50.0,100.0,0.001
6,0.167,0.15,0.71571,50.0,100.0,0.001
7,0.159,0.146,0.70049,50.0,100.0,0.0001
8,0.148,0.134,0.70427,50.0,100.0,0.0001
9,0.163,0.15,0.70794,50.0,100.0,1e-05
10,0.148,0.135,0.70825,50.0,100.0,1e-05
0,1.393,0.184,1.20528,50.0,50.0,0.1
1,0.19,0.172,1.87479,50.0,100.0,0.1
2,0.242,0.224,12.62516,50.0,100.0,0.1
0,0.048,0.001,0.79153,74.438,94.5909,0.1
1,0.049,0.001,0.42342,83.3619,98.6534,0.1
0,0.048,0.001,0.7773,74.2097,95.2756,0.1
0,0.05,0.001,0.46285,82.3006,97.9573,0.01
0,0.048,0.001,1.0082,72.2469,93.6095,0.1
0,0.201,0.003,0.70154,75.9443,96.063,0.1
0,0.199,0.003,0.69245,76.9143,95.3441,0.1
0,0.198,0.003,0.82657,69.438,92.1801,0.1
0,0.143,0.002,0.77234,70.1557,92.8418,0.1
1,0.141,0.002,0.63241,75.5056,95.8617,0.1
2,0.141,0.002,0.61433,76.3911,96.0947,0.1
3,0.141,0.002,0.58676,77.2579,96.7471,0.1
4,0.141,0.003,0.57404,77.7892,96.8403,0.1
5,0.141,0.003,0.52305,79.3923,97.3157,0.01
6,0.141,0.003,0.51359,79.6812,97.6419,0.01
0,0.031,0.001,5.54845,57.0137,78.6839,0.1
1,0.029,0.001,1.12867,57.6848,79.1872,0.1
2,0.029,0.001,1.12828,57.6848,79.3457,0.1
3,0.029,0.001,1.11735,57.6848,79.3457,0.01
4,0.029,0.001,1.11696,57.6848,79.3457,0.01
5,0.03,0.001,1.11648,57.6848,79.3457,0.001
6,0.029,0.001,1.11617,57.6848,79.3457,0.001
